SELECT DISTINCT COD_ROM_OID, CONVERT(INT,N_PED) AS NO_PED, Num_Rom, N_SEQ, Cod_Mot_Oid, Motorista FROM Reclamacao.dbo.TB_Romaneio AS R;1;1;0;NULL;NULL;1;NULL;1610791;NULL;NULL;NULL;15,81031;NULL;NULL;SELECT;0;NULL
"  |--Compute Scalar(DEFINE:([Expr1001]=CONVERT(int,[Reclamacao].[dbo].[TB_Romaneio].[N_Ped] as [R].[N_Ped],0)))";1;2;1;Compute Scalar;Compute Scalar;DEFINE:([Expr1001]=CONVERT(int,[Reclamacao].[dbo].[TB_Romaneio].[N_Ped] as [R].[N_Ped],0));[Expr1001]=CONVERT(int,[Reclamacao].[dbo].[TB_Romaneio].[N_Ped] as [R].[N_Ped],0);1610791;0;0,1610791;92;15,81031;[R].[Cod_Rom_Oid], [R].[Num_Rom], [R].[Cod_Mot_Oid], [R].[Motorista], [R].[N_Seq], [Expr1001];NULL;PLAN_ROW;0;1
"       |--Index Scan(OBJECT:([Reclamacao].[dbo].[TB_Romaneio].[NonClusteredIndex-20260312-013238] AS [R]))";1;3;2;Index Scan;Index Scan;OBJECT:([Reclamacao].[dbo].[TB_Romaneio].[NonClusteredIndex-20260312-013238] AS [R]);[R].[Cod_Rom_Oid], [R].[Num_Rom], [R].[Cod_Mot_Oid], [R].[Motorista], [R].[N_Seq], [R].[N_Ped];1610791;13,8772;1,772027;95;15,64923;[R].[Cod_Rom_Oid], [R].[Num_Rom], [R].[Cod_Mot_Oid], [R].[Motorista], [R].[N_Seq], [R].[N_Ped];NULL;PLAN_ROW;0;1
SELECT DISTINCT COD_ROM_OID, CONVERT(INT,N_PED) AS NO_PED--, Num_Rom, N_SEQ, Cod_Mot_Oid, Motorista FROM Reclamacao.dbo.TB_Romaneio AS R;2;4;0;NULL;NULL;2;NULL;1610791;NULL;NULL;NULL;5,178453;NULL;NULL;SELECT;0;NULL
"  |--Compute Scalar(DEFINE:([Expr1001]=CONVERT(int,[Reclamacao].[dbo].[TB_Romaneio].[N_Ped] as [R].[N_Ped],0)))";2;5;4;Compute Scalar;Compute Scalar;DEFINE:([Expr1001]=CONVERT(int,[Reclamacao].[dbo].[TB_Romaneio].[N_Ped] as [R].[N_Ped],0));[Expr1001]=CONVERT(int,[Reclamacao].[dbo].[TB_Romaneio].[N_Ped] as [R].[N_Ped],0);1610791;0;0,1610791;20;5,178453;[R].[Cod_Rom_Oid], [Expr1001];NULL;PLAN_ROW;0;1
"       |--Index Scan(OBJECT:([Reclamacao].[dbo].[TB_Romaneio].[n_ped] AS [R]))";2;6;5;Index Scan;Index Scan;OBJECT:([Reclamacao].[dbo].[TB_Romaneio].[n_ped] AS [R]);[R].[Cod_Rom_Oid], [R].[N_Ped];1610791;3,245347;1,772027;23;5,017375;[R].[Cod_Rom_Oid], [R].[N_Ped];NULL;PLAN_ROW;0;1
